t,h,s,v,vs,altitude,vertical_rate,groundspeed,fuel_burn,co2,fuel_burn_h2,co2_h2,co2_savings
3910,10911.84,848560.6123414173,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
3920,10911.84,850865.1961740786,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
3930,10911.84,853169.7800067399,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
3940,10911.84,855474.3638394012,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
3950,10911.84,857778.9476720624,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
3960,10911.84,860083.5315047237,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
3970,10911.84,862388.115337385,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
3980,10911.84,864692.6991700463,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
3990,10911.84,866997.2830027075,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4000,10911.84,869301.8668353688,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4010,10911.84,871606.4506680301,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4020,10911.84,873911.0345006913,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4030,10911.84,876215.6183333526,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4040,10911.84,878520.2021660139,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4050,10911.84,880824.7859986752,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4060,10911.84,883129.3698313364,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4070,10911.84,885433.9536639977,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4080,10911.84,887738.537496659,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4090,10911.84,890043.1213293202,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4100,10911.84,892347.7051619815,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4110,10911.84,894652.2889946428,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4120,10911.84,896956.8728273041,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4130,10911.84,899261.4566599653,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4140,10911.84,901566.0404926266,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4150,10911.84,903870.6243252879,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4160,10911.84,906175.2081579491,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4170,10911.84,908479.7919906104,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4180,10911.84,910784.3758232717,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4190,10911.84,913088.959655933,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4200,10911.84,915393.5434885942,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4210,10911.84,917698.1273212555,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4220,10911.84,920002.7111539168,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4230,10911.84,922307.294986578,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4240,10911.84,924611.8788192393,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4250,10911.84,926916.4626519006,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4260,10911.84,929221.0464845619,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4270,10911.84,931525.6303172231,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4280,10911.84,933830.2141498844,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
4290,10911.84,936134.7979825457,230.45838326612338,0.0,35800,0,447,10.622213283527085,33.56619397594559,4.248885313410834,13.426477590378235,20.139716385567354
